56544.6089442,-117602.46169,0.0,2017-12-04 19:20:00
56544.6105552,-117601.574947,0.0,2017-12-04 19:20:10
56539.2197645,-117603.449487,13.0,2017-12-04 19:20:20
56456.7886397,-117632.562013,46.0,2017-12-04 19:20:30
56333.0907848,-117677.00553,37.0,2017-12-04 19:20:40
56315.1489457,-117685.950899,0.0,2017-12-04 19:20:50
56314.9536507,-117685.618011,0.0,2017-12-04 19:21:00
56314.9536507,-117685.618011,0.0,2017-12-04 19:21:10
56313.7802523,-117684.507424,0.0,2017-12-04 19:21:20
56282.8063726,-117695.756513,31.0,2017-12-04 19:21:30
56153.4263112,-117739.966007,55.0,2017-12-04 19:21:40
56046.4923186,-117775.791746,15.0,2017-12-04 19:21:50
56040.618608,-117773.89649,1.0,2017-12-04 19:22:00
56038.3660884,-117773.670615,1.0,2017-12-04 19:22:10
56029.6276,-117784.738683,2.0,2017-12-04 19:22:20
56019.3352458,-117788.599042,13.0,2017-12-04 19:22:30
55931.6060084,-117820.912487,40.0,2017-12-04 19:22:40
55810.3634462,-117859.812946,41.0,2017-12-04 19:22:50
55736.0639484,-117886.275472,33.0,2017-12-04 19:23:00
55628.3220769,-117933.512746,33.0,2017-12-04 19:23:10
55554.9039292,-117959.643271,17.0,2017-12-04 19:23:20
55478.542989,-117987.762904,49.0,2017-12-04 19:23:30
55340.9177542,-118037.489915,53.0,2017-12-04 19:23:40
55279.7804154,-118095.010911,28.0,2017-12-04 19:23:50
55289.3594622,-118207.646021,40.0,2017-12-04 19:24:00
55293.5951187,-118297.326297,20.0,2017-12-04 19:24:10
55240.1794218,-118312.076456,32.0,2017-12-04 19:24:20
55132.8216885,-118309.652196,43.0,2017-12-04 19:24:30
55024.8671894,-118311.88121,35.0,2017-12-04 19:24:40
54948.8467615,-118314.282456,23.0,2017-12-04 19:24:50
54908.1001027,-118312.20767,7.0,2017-12-04 19:25:00
54891.9818402,-118339.332721,4.0,2017-12-04 19:25:10
54895.1110836,-118342.109923,0.0,2017-12-04 19:25:20
54898.2091036,-118360.848482,10.0,2017-12-04 19:25:30
54899.8739184,-118411.17454,21.0,2017-12-04 19:25:40
54889.9728269,-118464.914105,12.0,2017-12-04 19:25:50
54865.5737877,-118468.524156,0.0,2017-12-04 19:26:00
54865.3709203,-118472.07074,0.0,2017-12-04 19:26:10
54865.0766079,-118472.29185,0.0,2017-12-04 19:26:20
54864.783164,-118472.069589,0.0,2017-12-04 19:26:30
54864.7838154,-118471.73706,0.0,2017-12-04 19:26:40
54863.9015295,-118472.067861,0.0,2017-12-04 19:26:50
54873.5795391,-118482.284389,13.0,2017-12-04 19:27:00
54890.6134258,-118487.970736,2.0,2017-12-04 19:27:10
54908.6982257,-118507.292821,14.0,2017-12-04 19:27:20
54932.246752,-118537.931553,10.0,2017-12-04 19:27:30
54954.1088801,-118579.429574,19.0,2017-12-04 19:27:40
54987.9318627,-118616.073766,17.0,2017-12-04 19:27:50
55026.6101926,-118674.785086,25.0,2017-12-04 19:28:00
55060.7850458,-118732.268252,8.0,2017-12-04 19:28:10
55063.5236639,-118734.490434,1.0,2017-12-04 19:28:17
55082.9670412,-118760.797997,25.0,2017-12-04 19:28:27
55164.9593427,-118761.843557,45.0,2017-12-04 19:28:37
55285.4196208,-118728.157859,25.0,2017-12-04 19:28:47
55307.8655851,-118721.550421,14.0,2017-12-04 19:28:57
55398.5346583,-118693.126759,51.0,2017-12-04 19:29:07
55547.4188742,-118650.73614,58.0,2017-12-04 19:29:17
55716.3939534,-118603.061095,72.0,2017-12-04 19:29:27
55890.2816357,-118546.857908,60.0,2017-12-04 19:29:37
56037.539355,-118481.624376,50.0,2017-12-04 19:29:47
56165.9674528,-118427.105992,49.0,2017-12-04 19:29:57
56293.3125356,-118374.911925,47.0,2017-12-04 19:30:07
56356.9323216,-118350.64319,4.0,2017-12-04 19:30:17
56362.3094716,-118356.416884,1.0,2017-12-04 19:30:27
56366.0322968,-118356.202018,0.0,2017-12-04 19:30:37
56390.8392952,-118343.389628,16.0,2017-12-04 19:30:47
56440.3484949,-118321.422324,23.0,2017-12-04 19:30:57
56510.6504024,-118285.304741,36.0,2017-12-04 19:31:07
56599.578665,-118241.018111,39.0,2017-12-04 19:31:17
56671.9393038,-118203.462334,30.0,2017-12-04 19:31:27
56744.9744064,-118171.892857,18.0,2017-12-04 19:31:37
56754.7814565,-118165.592442,0.0,2017-12-04 19:31:47
56756.0499108,-118168.365802,0.0,2017-12-04 19:31:57
56758.9772534,-118174.689126,0.0,2017-12-04 19:32:07
56763.7835178,-118171.150788,7.0,2017-12-04 19:32:17
56831.5225568,-118142.896544,35.0,2017-12-04 19:32:27
56943.4706196,-118097.318435,46.0,2017-12-04 19:32:37
57045.2213584,-118056.81996,29.0,2017-12-04 19:32:47
57126.5839069,-118023.489398,38.0,2017-12-04 19:32:57
57250.3927828,-117971.943799,53.0,2017-12-04 19:33:07
57406.0573177,-117908.148893,67.0,2017-12-04 19:33:17
57566.2145447,-117851.010293,52.0,2017-12-04 19:33:27
57708.4243104,-117805.698915,51.0,2017-12-04 19:33:37
57810.4535096,-117771.179841,27.0,2017-12-04 19:33:47
57830.0574596,-117763.454311,4.0,2017-12-04 19:33:57
57889.641647,-117746.818589,35.0,2017-12-04 19:34:07
58013.242344,-117698.8116,59.0,2017-12-04 19:34:17
58139.5301697,-117624.981376,51.0,2017-12-04 19:34:27
58257.78604,-117550.138786,31.0,2017-12-04 19:34:37
58311.5953465,-117588.691174,43.0,2017-12-04 19:34:47
58366.3391526,-117713.480836,60.0,2017-12-04 19:34:57
58360.0737773,-117888.048351,66.0,2017-12-04 19:35:07
58312.3146875,-118097.462319,80.0,2017-12-04 19:35:17
58267.771164,-118316.081387,79.0,2017-12-04 19:35:27
58226.4874372,-118517.525015,69.0,2017-12-04 19:35:37
58201.7915196,-118640.408566,11.0,2017-12-04 19:35:47
58196.0040331,-118645.054273,0.0,2017-12-04 19:35:57
58193.6500016,-118646.823815,0.0,2017-12-04 19:36:07
58196.1895501,-118651.261792,1.0,2017-12-04 19:36:17
58194.6166027,-118654.584446,9.0,2017-12-04 19:36:27
58200.8294426,-118688.401977,29.0,2017-12-04 19:36:37
58335.1693844,-118726.312958,62.0,2017-12-04 19:36:47
58529.6194326,-118788.152851,80.0,2017-12-04 19:36:57
58728.0805618,-118854.540627,70.0,2017-12-04 19:37:07
58887.7259889,-118936.047813,53.0,2017-12-04 19:37:17
58901.4773173,-119034.720263,52.0,2017-12-04 19:37:27
58833.9195045,-119192.78373,59.0,2017-12-04 19:37:37
58803.829581,-119262.011705,1.0,2017-12-04 19:37:47
58805.3977554,-119261.57088,0.0,2017-12-04 19:37:57
58806.8677837,-119261.240739,0.0,2017-12-04 19:38:07
58803.5677467,-119302.57978,25.0,2017-12-04 19:38:17
58894.3759275,-119367.34835,54.0,2017-12-04 19:38:27
59037.9290114,-119469.887536,66.0,2017-12-04 19:38:37
59203.6004321,-119588.199834,76.0,2017-12-04 19:38:47
59369.7625795,-119708.062347,57.0,2017-12-04 19:38:57
59435.4289653,-119753.500387,2.0,2017-12-04 19:39:07
