56312.8172805,-117679.428536
56281.0319762,-117690.791091
56151.882371,-117735.493892
56045.2851814,-117772.295201
56017.0730779,-117782.294075
55929.0777989,-117813.866027
55809.4674608,-117857.359303
55735.2941104,-117884.120396
55624.7803922,-117923.598192
55551.392645,-117949.81382
55474.8204162,-117977.519662
55337.2877633,-118027.501426
55285.1676096,-118046.442799
55282.1197305,-118208.404828
55289.6961881,-118297.611458
55290.485037,-118308.397197
55132.8564022,-118314.613012
55024.9063337,-118315.421691
54948.8686519,-118316.262379
54908.1499098,-118316.712573
54890.8556905,-118339.339221
54890.9800748,-118360.890205
54891.270584,-118411.224195
54891.5804087,-118464.904827
54891.6004312,-118468.37394
54891.7114724,-118487.613088
54907.5294269,-118508.191249
54931.0796846,-118538.828651
54959.2506085,-118575.477247
54989.5186395,-118614.854048
55032.2524366,-118670.448024
55072.7201723,-118723.093998
55094.7438613,-118751.745429
55160.6854541,-118745.438893
55281.7074275,-118713.909176
55304.3387149,-118708.013072
55395.1902035,-118677.369084
55543.7670457,-118638.608551
55712.8344509,-118589.015477
55882.2811513,-118532.371542
56028.360764,-118460.620491
56160.8602115,-118412.843942
56286.6088816,-118359.584121
56348.9233258,-118332.330741
56380.0490254,-118318.717838
56428.9677247,-118296.990254
56500.5595578,-118263.641864
56590.5843203,-118221.708311
56664.2029703,-118187.154437
56738.7312428,-118156.610164
56823.0956025,-118122.168523
